x,y,z
2.280000000000000000e+02,3.770000000000000284e+01,2.150000000000000000e+01
2.025000000000000000e+02,2.230000000000000071e+01,1.660000000000000142e+01
1.770000000000000000e+02,3.339999999999999858e+01,1.710000000000000142e+01
2.936000000000000227e+02,2.769999999999999929e+01,2.069999999999999929e+01
2.069000000000000057e+02,8.400000000000000355e+00,1.290000000000000036e+01
2.510000000000000142e+01,2.569999999999999929e+01,8.500000000000000000e+00
1.750999999999999943e+02,2.250000000000000000e+01,1.490000000000000036e+01
8.970000000000000284e+01,9.900000000000000355e+00,1.059999999999999964e+01
2.399000000000000057e+02,4.150000000000000000e+01,2.319999999999999929e+01
2.271999999999999886e+02,1.580000000000000071e+01,1.480000000000000071e+01
6.690000000000000568e+01,1.169999999999999929e+01,9.699999999999999289e+00
1.998000000000000114e+02,3.100000000000000089e+00,1.140000000000000036e+01
1.004000000000000057e+02,9.599999999999999645e+00,1.069999999999999929e+01
2.164000000000000057e+02,4.170000000000000284e+01,2.260000000000000142e+01
1.825999999999999943e+02,4.620000000000000284e+01,2.119999999999999929e+01
2.626999999999999886e+02,2.880000000000000071e+01,2.019999999999999929e+01
1.989000000000000057e+02,4.939999999999999858e+01,2.369999999999999929e+01
7.299999999999999822e+00,2.810000000000000142e+01,5.500000000000000000e+00
1.361999999999999886e+02,1.919999999999999929e+01,1.319999999999999929e+01
2.108000000000000114e+02,4.960000000000000142e+01,2.380000000000000071e+01
2.106999999999999886e+02,2.950000000000000000e+01,1.839999999999999858e+01
5.350000000000000000e+01,2.000000000000000000e+00,8.099999999999999645e+00
2.613000000000000114e+02,4.270000000000000284e+01,2.419999999999999929e+01
2.393000000000000114e+02,1.550000000000000000e+01,1.569999999999999929e+01
1.027000000000000028e+02,2.960000000000000142e+01,1.400000000000000000e+01
1.310999999999999943e+02,4.279999999999999716e+01,1.800000000000000000e+01
6.900000000000000000e+01,9.300000000000000711e+00,9.300000000000000711e+00
3.150000000000000000e+01,2.460000000000000142e+01,9.500000000000000000e+00
1.393000000000000114e+02,1.450000000000000000e+01,1.340000000000000036e+01
2.374000000000000057e+02,2.750000000000000000e+01,1.889999999999999858e+01
2.168000000000000114e+02,4.389999999999999858e+01,2.230000000000000071e+01
1.990999999999999943e+02,3.060000000000000142e+01,1.830000000000000071e+01
1.097999999999999972e+02,1.430000000000000071e+01,1.240000000000000036e+01
2.680000000000000071e+01,3.300000000000000000e+01,8.800000000000000711e+00
1.294000000000000057e+02,5.700000000000000178e+00,1.100000000000000000e+01
2.134000000000000057e+02,2.460000000000000142e+01,1.700000000000000000e+01
1.689999999999999858e+01,4.370000000000000284e+01,8.699999999999999289e+00
2.750000000000000000e+01,1.600000000000000089e+00,6.900000000000000355e+00
1.205000000000000000e+02,2.850000000000000000e+01,1.419999999999999929e+01
5.400000000000000355e+00,2.989999999999999858e+01,5.299999999999999822e+00
1.160000000000000000e+02,7.700000000000000178e+00,1.100000000000000000e+01
7.640000000000000568e+01,2.669999999999999929e+01,1.180000000000000071e+01
2.398000000000000114e+02,4.099999999999999645e+00,1.230000000000000071e+01
7.529999999999999716e+01,2.030000000000000071e+01,1.130000000000000071e+01
6.840000000000000568e+01,4.450000000000000000e+01,1.359999999999999964e+01
2.135000000000000000e+02,4.300000000000000000e+01,2.169999999999999929e+01
1.931999999999999886e+02,1.839999999999999858e+01,1.519999999999999929e+01
7.629999999999999716e+01,2.750000000000000000e+01,1.200000000000000000e+01
1.107000000000000028e+02,4.060000000000000142e+01,1.600000000000000000e+01
8.829999999999999716e+01,2.550000000000000000e+01,1.290000000000000036e+01
1.097999999999999972e+02,4.779999999999999716e+01,1.669999999999999929e+01
1.343000000000000114e+02,4.900000000000000355e+00,1.119999999999999929e+01
2.860000000000000142e+01,1.500000000000000000e+00,7.299999999999999822e+00
2.176999999999999886e+02,3.350000000000000000e+01,1.939999999999999858e+01
2.509000000000000057e+02,3.650000000000000000e+01,2.219999999999999929e+01
1.074000000000000057e+02,1.400000000000000000e+01,1.150000000000000000e+01
1.633000000000000114e+02,3.160000000000000142e+01,1.689999999999999858e+01
1.975999999999999943e+02,3.500000000000000000e+00,1.169999999999999929e+01
1.849000000000000057e+02,2.100000000000000000e+01,1.550000000000000000e+01
2.896999999999999886e+02,4.229999999999999716e+01,2.539999999999999858e+01
1.351999999999999886e+02,4.170000000000000284e+01,1.719999999999999929e+01
2.224000000000000057e+02,4.299999999999999822e+00,1.169999999999999929e+01
2.963999999999999773e+02,3.629999999999999716e+01,2.380000000000000071e+01
2.801999999999999886e+02,1.009999999999999964e+01,1.480000000000000071e+01
1.879000000000000057e+02,1.719999999999999929e+01,1.469999999999999929e+01
2.381999999999999886e+02,3.429999999999999716e+01,2.069999999999999929e+01
1.379000000000000057e+02,4.639999999999999858e+01,1.919999999999999929e+01
2.500000000000000000e+01,1.100000000000000000e+01,7.200000000000000178e+00
9.040000000000000568e+01,2.999999999999999889e-01,8.699999999999999289e+00
1.309999999999999964e+01,4.000000000000000222e-01,5.299999999999999822e+00
2.554000000000000057e+02,2.689999999999999858e+01,1.980000000000000071e+01
2.258000000000000114e+02,8.199999999999999289e+00,1.340000000000000036e+01
2.416999999999999886e+02,3.800000000000000000e+01,2.180000000000000071e+01
1.756999999999999886e+02,1.540000000000000036e+01,1.409999999999999964e+01
2.095999999999999943e+02,2.060000000000000142e+01,1.590000000000000036e+01
7.820000000000000284e+01,4.679999999999999716e+01,1.459999999999999964e+01
7.509999999999999432e+01,3.500000000000000000e+01,1.259999999999999964e+01
1.391999999999999886e+02,1.430000000000000071e+01,1.219999999999999929e+01
7.640000000000000568e+01,8.000000000000000444e-01,9.400000000000000355e+00
1.257000000000000028e+02,3.689999999999999858e+01,1.590000000000000036e+01
1.939999999999999858e+01,1.600000000000000000e+01,6.599999999999999645e+00
1.413000000000000114e+02,2.680000000000000071e+01,1.550000000000000000e+01
1.880000000000000071e+01,2.169999999999999929e+01,7.000000000000000000e+00
2.240000000000000000e+02,2.399999999999999911e+00,1.159999999999999964e+01
1.230999999999999943e+02,3.460000000000000142e+01,1.519999999999999929e+01
2.295000000000000000e+02,3.229999999999999716e+01,1.969999999999999929e+01
8.720000000000000284e+01,1.180000000000000071e+01,1.059999999999999964e+01
7.799999999999999822e+00,3.889999999999999858e+01,6.599999999999999645e+00
8.020000000000000284e+01,0.000000000000000000e+00,8.800000000000000711e+00
2.203000000000000114e+02,4.900000000000000000e+01,2.469999999999999929e+01
5.960000000000000142e+01,1.200000000000000000e+01,9.699999999999999289e+00
6.999999999999999556e-01,3.960000000000000142e+01,1.600000000000000089e+00
2.651999999999999886e+02,2.899999999999999911e+00,1.269999999999999929e+01
8.400000000000000355e+00,2.719999999999999929e+01,5.700000000000000178e+00
2.198000000000000114e+02,3.350000000000000000e+01,1.960000000000000142e+01
3.689999999999999858e+01,3.860000000000000142e+01,1.080000000000000071e+01
4.829999999999999716e+01,4.700000000000000000e+01,1.159999999999999964e+01
2.560000000000000142e+01,3.900000000000000000e+01,9.500000000000000000e+00
2.736999999999999886e+02,2.889999999999999858e+01,2.080000000000000071e+01
4.300000000000000000e+01,2.589999999999999858e+01,9.599999999999999645e+00
1.849000000000000057e+02,4.389999999999999858e+01,2.069999999999999929e+01
7.340000000000000568e+01,1.700000000000000000e+01,1.090000000000000036e+01
1.936999999999999886e+02,3.539999999999999858e+01,1.919999999999999929e+01
2.205000000000000000e+02,3.320000000000000284e+01,2.010000000000000142e+01
1.045999999999999943e+02,5.700000000000000178e+00,1.040000000000000036e+01
9.620000000000000284e+01,1.480000000000000071e+01,1.140000000000000036e+01
1.403000000000000114e+02,1.899999999999999911e+00,1.030000000000000071e+01
2.400999999999999943e+02,7.299999999999999822e+00,1.319999999999999929e+01
2.431999999999999886e+02,4.900000000000000000e+01,2.539999999999999858e+01
3.800000000000000000e+01,4.029999999999999716e+01,1.090000000000000036e+01
4.470000000000000284e+01,2.580000000000000071e+01,1.009999999999999964e+01
2.806999999999999886e+02,1.390000000000000036e+01,1.610000000000000142e+01
1.210000000000000000e+02,8.400000000000000355e+00,1.159999999999999964e+01
1.975999999999999943e+02,2.330000000000000071e+01,1.660000000000000142e+01
1.713000000000000114e+02,3.970000000000000284e+01,1.900000000000000000e+01
1.878000000000000114e+02,2.110000000000000142e+01,1.559999999999999964e+01
4.099999999999999645e+00,1.159999999999999964e+01,3.200000000000000178e+00
9.390000000000000568e+01,4.350000000000000000e+01,1.530000000000000071e+01
1.498000000000000114e+02,1.300000000000000044e+00,1.009999999999999964e+01
1.169999999999999929e+01,3.689999999999999858e+01,7.299999999999999822e+00
1.316999999999999886e+02,1.839999999999999858e+01,1.290000000000000036e+01
1.725000000000000000e+02,1.810000000000000142e+01,1.440000000000000036e+01
8.570000000000000284e+01,3.579999999999999716e+01,1.330000000000000071e+01
1.884000000000000057e+02,1.810000000000000142e+01,1.490000000000000036e+01
1.635000000000000000e+02,3.679999999999999716e+01,1.800000000000000000e+01
1.172000000000000028e+02,1.469999999999999929e+01,1.190000000000000036e+01
2.345000000000000000e+02,3.399999999999999911e+00,1.190000000000000036e+01
1.789999999999999858e+01,3.760000000000000142e+01,8.000000000000000000e+00
2.068000000000000114e+02,5.200000000000000178e+00,1.219999999999999929e+01
2.154000000000000057e+02,2.360000000000000142e+01,1.710000000000000142e+01
2.843000000000000114e+02,1.059999999999999964e+01,1.500000000000000000e+01
5.000000000000000000e+01,1.159999999999999964e+01,8.400000000000000355e+00
1.645000000000000000e+02,2.089999999999999858e+01,1.450000000000000000e+01
1.960000000000000142e+01,2.010000000000000142e+01,7.599999999999999645e+00
1.684000000000000057e+02,7.099999999999999645e+00,1.169999999999999929e+01
2.224000000000000057e+02,3.399999999999999911e+00,1.150000000000000000e+01
2.768999999999999773e+02,4.889999999999999858e+01,2.700000000000000000e+01
2.484000000000000057e+02,3.019999999999999929e+01,2.019999999999999929e+01
1.701999999999999886e+02,7.799999999999999822e+00,1.169999999999999929e+01
2.766999999999999886e+02,2.299999999999999822e+00,1.180000000000000071e+01
1.655999999999999943e+02,1.000000000000000000e+01,1.259999999999999964e+01
1.565999999999999943e+02,2.600000000000000089e+00,1.050000000000000000e+01
2.185000000000000000e+02,5.400000000000000355e+00,1.219999999999999929e+01
5.620000000000000284e+01,5.700000000000000178e+00,8.699999999999999289e+00
2.876000000000000227e+02,4.300000000000000000e+01,2.619999999999999929e+01
2.538000000000000114e+02,2.130000000000000071e+01,1.760000000000000142e+01
2.050000000000000000e+02,4.510000000000000142e+01,2.260000000000000142e+01
1.395000000000000000e+02,2.100000000000000089e+00,1.030000000000000071e+01
1.910999999999999943e+02,2.869999999999999929e+01,1.730000000000000071e+01
2.860000000000000000e+02,1.390000000000000036e+01,1.590000000000000036e+01
1.869999999999999929e+01,1.209999999999999964e+01,6.700000000000000178e+00
3.950000000000000000e+01,4.110000000000000142e+01,1.080000000000000071e+01
7.550000000000000000e+01,1.080000000000000071e+01,9.900000000000000355e+00
1.719999999999999929e+01,4.099999999999999645e+00,5.900000000000000355e+00
1.668000000000000114e+02,4.200000000000000000e+01,1.960000000000000142e+01
1.496999999999999886e+02,3.560000000000000142e+01,1.730000000000000071e+01
3.820000000000000284e+01,3.700000000000000178e+00,7.599999999999999645e+00
9.420000000000000284e+01,4.900000000000000355e+00,9.699999999999999289e+00
1.770000000000000000e+02,9.300000000000000711e+00,1.280000000000000071e+01
2.836000000000000227e+02,4.200000000000000000e+01,2.550000000000000000e+01
2.320999999999999943e+02,8.599999999999999645e+00,1.340000000000000036e+01
